name_en;name_hu;name_de
House;Ház;Haus
Dwelling House;Lakóház;Wohnhaus
Semi-detached house;Ikerház;Doppelhaus
Terraced house;Sorház;Reihenhaus
Holiday house;Nyaraló;Wochenendhaus
Country mansion;Kúria;Landhaus
Flat;Lakás;Wohnung
Flat in a block of flats;Panel lakás;Wohnung im Blockhaus
Brick house;Tégla lakás;Wohnung im Mauerwerkhaus
Apartment;Apartman;Appartement
Land;Telek;Grundstück
Infill Land;Belterületi telek;Grundstück im Binnengebiet
Greenfield Land;Külterületi telek;Grundstück im Außengebiet
Wine cellar with a wine-press house;Pince, présház;Weinkeller und Kelterhaus
Miscellaneous;Egyéb;Sonstiges
Shop;Üzlet;Geschäft
Other;Egyéb;Sonstiges
